fulcrum_id,fulcrum_parent_id,fulcrum_record_id,version,caption,latitude,longitude,geometry,file_size,uploaded_at,exif_date_time,exif_gps_altitude,exif_gps_date_stamp,exif_gps_time_stamp,exif_gps_dop,exif_gps_img_direction,exif_gps_img_direction_ref,exif_gps_latitude,exif_gps_latitude_ref,exif_gps_longitude,exif_gps_longitude_ref,exif_make,exif_model,exif_orientation,exif_pixel_x_dimension,exif_pixel_y_dimension,exif_software,exif_x_resolution,exif_y_resolution
7d8c18bd-e932-4ca1-a60a-0cbd37f76c27,bfbcdccc-5bc0-4bc8-a6e7-051703dcd784,bfbcdccc-5bc0-4bc8-a6e7-051703dcd784,1,,42.9962838,-85.73853970000236,POINT (-85.73853970000236 42.9962838),753424,2019-07-09 17:12:33 UTC,2019-07-08 12:12:33 UTC,194.0,,,3.828,,,42.9962838,N,-85.73853970000236,W,samsung,SM-A520F,,810,1080,"Fulcrum Android 2.33.0 (4881), Android 8.0.0, samsung, SM-A520F",72.0,72.0
d3d584ac-d636-4d49-a73f-dcd91e2a8efe,a5da05ac-f349-47fa-b4ad-6a4589d5173e,a5da05ac-f349-47fa-b4ad-6a4589d5173e,1,,42.99852670000211,-85.73794444444445,POINT (-85.73794444444445 42.99852670000211),972972,2019-07-09 17:12:35 UTC,2019-07-08 12:31:53 UTC,188.0,,,3.98,,,42.99852670000211,N,-85.73794444444445,W,samsung,SM-A520F,,810,1080,"Fulcrum Android 2.33.0 (4881), Android 8.0.0, samsung, SM-A520F",72.0,72.0
d8ed25d8-f6f4-467b-88e7-35e819183547,a5da05ac-f349-47fa-b4ad-6a4589d5173e,a5da05ac-f349-47fa-b4ad-6a4589d5173e,1,,42.99852730000107,-85.7379475,POINT (-85.7379475 42.99852730000107),733166,2019-07-09 17:12:37 UTC,2019-07-08 12:32:23 UTC,193.0,,,4.68,,,42.99852730000107,N,-85.7379475,W,samsung,SM-A520F,,810,1080,"Fulcrum Android 2.33.0 (4881), Android 8.0.0, samsung, SM-A520F",72.0,72.0
91e564b1-a259-4447-8c3a-ac6b172e57f8,a5da05ac-f349-47fa-b4ad-6a4589d5173e,a5da05ac-f349-47fa-b4ad-6a4589d5173e,1,,42.998412,-85.73805170000237,POINT (-85.73805170000237 42.998412),1004057,2019-07-09 17:12:39 UTC,2019-07-08 12:32:40 UTC,186.0,,,22.0,,,42.998412,N,-85.73805170000237,W,samsung,SM-A520F,,810,1080,"Fulcrum Android 2.33.0 (4881), Android 8.0.0, samsung, SM-A520F",72.0,72.0
afe1e8f3-c098-4e90-8509-306020f8764d,77dadc32-56ef-4bc8-a0b9-19ea84899800,77dadc32-56ef-4bc8-a0b9-19ea84899800,1,,42.99626170000217,-85.7398076,POINT (-85.7398076 42.99626170000217),744691,2019-07-09 17:12:41 UTC,2019-07-09 10:26:38 UTC,229.0,,,5.015,,,42.99626170000217,N,-85.7398076,W,samsung,SM-A520F,,810,1080,"Fulcrum Android 2.33.0 (4881), Android 8.0.0, samsung, SM-A520F",72.0,72.0
98095fbd-bbd1-49d7-81b7-fc56248bd36a,77dadc32-56ef-4bc8-a0b9-19ea84899800,77dadc32-56ef-4bc8-a0b9-19ea84899800,1,,42.99630810000186,-85.7398075,POINT (-85.7398075 42.99630810000186),869044,2019-07-09 17:12:42 UTC,2019-07-09 10:28:33 UTC,181.0,,,3.0,,,42.99630810000186,N,-85.7398075,W,samsung,SM-A520F,,810,1080,"Fulcrum Android 2.33.0 (4881), Android 8.0.0, samsung, SM-A520F",72.0,72.0
37a78a05-8624-4789-8db9-9ee295b1a5b0,77dadc32-56ef-4bc8-a0b9-19ea84899800,77dadc32-56ef-4bc8-a0b9-19ea84899800,1,,42.99630810000186,-85.7398075,POINT (-85.7398075 42.99630810000186),847154,2019-07-09 17:12:44 UTC,2019-07-09 10:28:46 UTC,181.0,,,3.0,,,42.99630810000186,N,-85.7398075,W,samsung,SM-A520F,,810,1080,"Fulcrum Android 2.33.0 (4881), Android 8.0.0, samsung, SM-A520F",72.0,72.0
acbe80a0-51d6-4c56-a357-3decf95c8594,365d40d3-a43b-414d-9fb2-b0fa7c73a4a5,365d40d3-a43b-414d-9fb2-b0fa7c73a4a5,1,,42.99638888888889,-85.73970960322025,POINT (-85.73970960322025 42.99638888888889),790018,2019-07-09 17:12:46 UTC,2019-07-09 10:35:53 UTC,198.0,,,4.33,,,42.99638888888889,N,-85.73970960322025,W,samsung,SM-A520F,,810,1080,"Fulcrum Android 2.33.0 (4881), Android 8.0.0, samsung, SM-A520F",72.0,72.0
8524c3c1-a179-451c-b440-74db3f4962be,365d40d3-a43b-414d-9fb2-b0fa7c73a4a5,365d40d3-a43b-414d-9fb2-b0fa7c73a4a5,1,,42.996326,-85.73969009999887,POINT (-85.73969009999887 42.996326),741759,2019-07-09 17:12:48 UTC,2019-07-09 10:36:26 UTC,249.0,,,4.912,,,42.996326,N,-85.73969009999887,W,samsung,SM-A520F,,810,1080,"Fulcrum Android 2.33.0 (4881), Android 8.0.0, samsung, SM-A520F",72.0,72.0
0e46de5c-4159-46c1-9516-b78c6f0eedab,365d40d3-a43b-414d-9fb2-b0fa7c73a4a5,365d40d3-a43b-414d-9fb2-b0fa7c73a4a5,1,,42.99632850241546,-85.73966510000204,POINT (-85.73966510000204 42.99632850241546),999953,2019-07-09 17:12:50 UTC,2019-07-09 10:36:52 UTC,199.0,,,17.433000568135704,,,42.99632850241546,N,-85.73966510000204,W,samsung,SM-A520F,,810,1080,"Fulcrum Android 2.33.0 (4881), Android 8.0.0, samsung, SM-A520F",72.0,72.0
